username,bio,followers,following,posts,account_age_days,has_profile_pic,has_url,is_fake
free_irywt_855,FREE followers! Click the link NOW!!!,15,323,0,16,0,0,1
x6cj9k4ci248f3vk,Adult content 🔞 Link below for more,31,50,0,5,1,0,1
dylan_91,Living life one dance at a time 🏔️,56,116,52,535,1,0,0
ksfc7629wdi,Invest in crypto NOW! Double your money! 🚀🚀🚀,37,150,0,72,1,1,1
audreythomas55,Dreamer & doer ✨ | hiking | Tokyo,481,591,8,1366,1,0,0
9jzf4epm7zdng61,,18,285,8,20,0,1,1
joseph.walker,Mom of 1 | hiking | Coffee addict ☕,433,124,18,2235,1,1,0
elijahsmith7,Dreamer & doer ✨ | gardening | Seattle,1013,83,53,1634,1,0,0
violet_94,"Lawyer by day, swimming lover by night 🌙",8229,433,103,1711,1,0,0
real_zaxncp9445,Crypto millionaire 💎🙌 Join my course!,41,332,0,19,0,1,1
onq51702447,Hot singles in your area 😍 DM NOW,13,7500,6,3,0,1,1
follow_me_003026,,42,1126,0,1,0,1,1
kh3ycqe8xavm,Invest in crypto NOW! Double your money! 🚀🚀🚀,55,247,0,41,1,0,1
oliver_94,Living life one running at a time 🏔️,291,650,16,654,1,0,0
calebharris63,"Lawyer by day, baking lover by night 🌙",1328,197,13,633,1,0,0
nora_90,adventurous | running | travel | Barcelona 📍,747,276,45,550,1,1,0
free_dydwt_467,Follow 4 Follow! Like 4 Like! 💯💯💯,29,454,8,5,1,1,1
follow_me_812822,,8,1335,0,16,0,1,1
tye737fentd7,Buy followers cheap! DM for prices!,2,667,2,3,0,1,1
jayden_92,🎵 Music lover | Accountant | music,211,1758,96,1010,1,0,0
x9gnctijh33ic44t,Adult content 🔞 Link below for more,36,333,1,9,1,0,1
xa6srg1yd5my3gdi,Free gift cards! Limited time offer! Click NOW!,33,175,3,11,0,0,1
loganlewis46,Mom of 3 | painting | Coffee addict ☕,44,238,2,574,1,1,0
emma_91,📸 music | Travel addict | LA native,539,149,26,1423,1,0,0
the_ava,📸 skiing | Travel addict | San Francisco native,176,77,15,2828,1,1,0
the_christopher,Fitness & wellness 💪 | fitness | Toronto,1370,203,5,472,1,0,0
follow_me_404013,Invest in crypto NOW! Double your money! 🚀🚀🚀,9,3034,0,88,0,1,1
ocfe5272fbr,Click link in bio for FREE money 💰💰💰,35,1359,9,3,0,1,1
real_kmbnxn0405,Want to lose 20lbs fast?? DM me!!!,17,1335,0,8,0,1,1
real_rkkhxv4663,Follow 4 Follow! Like 4 Like! 💯💯💯,11,3843,5,55,0,1,1
6xgk6yulnd7u4xxgx57,Free gift cards! Limited time offer! Click NOW!,8,263,2,50,1,1,1
n6nbyzm242om7ztr,Buy followers cheap! DM for prices!,9,520,4,2,0,1,1
follow_me_029477,FREE followers! Click the link NOW!!!,28,1213,2,12,1,0,1
user828694,Free gift cards! Limited time offer! Click NOW!,36,3633,6,228,0,1,1
owenlopez99,Love yoga and gardening 🌟 | Paris based,160,154,26,1098,1,1,0
the_aurora,Just a chill soul exploring the world 🌍 | writing,181,125,4,1770,1,0,0
jayden_king,📸 meditation | Travel addict | Barcelona native,875,259,14,415,1,0,0
actg9409zim,,7,1572,2,1,0,1,1
user638205,Crypto millionaire 💎🙌 Join my course!,22,503,4,15,0,1,1
tuii2969geg,,7,1491,3,26,0,1,1
the_alice,chill | travel | music | Miami 📍,216,40,82,215,1,0,0
carteryoung53,Wanderlust 🌎 | travel | yoga | Austin,214,1587,5,439,1,0,0
jacob.lewis,🎓 UCLA alum | Designer | Chicago,247,117,29,1029,1,0,0
1l526rqgkcumcz,Follow 4 Follow! Like 4 Like! 💯💯💯,49,4956,1,13,0,1,1
chloe.robinson,Spreading positivity ☀️ | Chef | painting,37,218,102,1489,1,0,0
user346617,Invest in crypto NOW! Double your money! 🚀🚀🚀,14,3508,1,2,0,1,1
michael.young.official,🎵 Music lover | Doctor | dance,97,171,137,1153,1,0,0
follow_me_314853,.,34,3704,3,4,0,0,1
user778044,,28,275,3,8,1,0,1
audreyjackson49,📸 meditation | Travel addict | San Francisco native,698,120,84,254,1,1,0
follow_me_837906,CHEAP followers and likes! Best prices! DM!!!,2,3278,0,22,1,1,1
real_lkilev9384,Follow 4 Follow! Like 4 Like! 💯💯💯,5,668,0,30,1,1,1
piper_95,Dreamer & doer ✨ | painting | Seattle,82,1041,115,710,1,0,0
the_elijah,Love dance and reading 🌟 | LA based,78,143,10,682,1,0,0
pzcd5xrsi7eadghx,,12,194,6,28,1,1,1
owen_robinson,Doctor 💼 | Family first ❤️ | swimming,267,183,32,5000,1,0,0
user437132,,41,287,1,22,0,0,1
user469698,,2,281,0,113,0,0,1
rubyhill,Just a creative soul exploring the world 🌍 | skiing,152,609,39,277,1,0,0
fqu54528352,,17,2933,3,47,0,1,1
madisonwalker,"Lawyer by day, swimming lover by night 🌙",306,44,86,722,1,0,0
tce55586410,Make $5000/day working from home! Link below 👇,1,4018,0,7,0,1,1
follow_me_819730,Adult content 🔞 Link below for more,3,251,1,7,0,1,1
the_ella,Dreamer & doer ✨ | camping | Denver,38,1530,3,2365,1,0,0
hazel.hernandez,Nurse | painting enthusiast | Living my best life ✨,151,1132,87,2673,1,0,0
free_hqxqp_795,,5,66,2,10,0,1,1
levi.jackson.official,Entrepreneur | travel enthusiast | Living my best life ✨,189,138,20,124,1,0,0
joshuaperez,Wanderlust 🌎 | gardening | camping | NYC,1952,282,124,814,1,0,0
follow_me_660018,Hot singles in your area 😍 DM NOW,127,78,6,21,0,1,1
follow_me_185496,Click link in bio for FREE money 💰💰💰,25,3432,1,4,1,1,1
owenyoung,Creative mind | meditation | baking | Let's connect!,67,119,319,144,1,0,0
free_sbffq_115,DM me for exclusive offers!!!,14,805,4,6,1,1,1
ysv6o9e9nhcg,....,53,893,3,33,1,0,1
752a97pnfircvcz8,CHEAP followers and likes! Best prices! DM!!!,10,343,8,12,1,1,1
user469604,Want to lose 20lbs fast?? DM me!!!,12,2224,1,7,1,0,1
follow_me_412207,,38,97,1,40,0,1,1
real_yigomc3786,,18,7500,0,3,1,1,1
fqs31782273,Free gift cards! Limited time offer! Click NOW!,15,1124,0,26,0,0,1
isoq6306kiv,DM me for exclusive offers!!!,4,220,0,2,0,1,1
jackson_garcia,Mom of 2 | gaming | Coffee addict ☕,1025,67,60,632,1,1,0
follow_me_277394,....,0,2401,5,5,0,1,1
xaqo8940uis,....,22,90,3,36,1,1,1
the_alexander,Spreading positivity ☀️ | Data Analyst | writing,22,53,40,219,1,1,0
elijah_scott,Mom of 1 | hiking | Coffee addict ☕,1159,253,195,687,1,1,0
blik2511gat,Free gift cards! Limited time offer! Click NOW!,21,50,1,46,0,0,1
a1df62unw65b4eyq1s4d,Buy followers cheap! DM for prices!,24,67,2,56,1,0,1
lunathomas86,"Doctor by day, music lover by night 🌙",763,83,24,516,1,1,0
real_ebxmaj5681,Hot singles in your area 😍 DM NOW,42,1226,4,6,0,1,1
guin1664wve,I make $10k/week! Ask me how 💵💵💵,64,659,0,33,0,0,1
the_asher,Bookworm 📚 | camping | swimming | Introvert at heart,984,191,45,397,1,0,0
follow_me_361527,.,7,814,2,15,0,0,1
evelyn.hill,🎓 Oxford alum | Artist | Tokyo,1225,226,97,798,1,0,0
follow_me_371303,Follow 4 Follow! Like 4 Like! 💯💯💯,16,451,2,44,0,0,1
follow_me_839240,Follow 4 Follow! Like 4 Like! 💯💯💯,10,668,3,16,0,0,1
gabriel_93,Just a curious soul exploring the world 🌍 | gardening,10,98,57,110,1,0,0
free_ohkat_956,,4,887,1,5,1,1,1
real_bfoejn1463,Hot singles in your area 😍 DM NOW,12,133,0,12,1,1,1
sarahgarcia32,📸 meditation | Travel addict | Boston native,21,63,9,1261,1,1,0
qhga4720xgk,Follow 4 Follow! Like 4 Like! 💯💯💯,6,424,3,100,0,1,1
the_jack,Creative mind | skateboarding | music | Let's connect!,335,524,21,240,1,0,0
samuelrobinson36,Bookworm 📚 | writing | travel | Introvert at heart,286,641,11,1378,1,0,0
lily_97,happy | painting | gardening | Boston 📍,718,281,33,1178,1,1,0
follow_me_291959,.,32,5341,0,1,1,1,1
masonperez,Fitness & wellness 💪 | music | Seattle,244,51,68,517,1,0,0
free_inact_675,Buy followers cheap! DM for prices!,30,83,0,5,0,0,1
user426346,....,1,294,1,35,0,1,1
follow_me_035621,Follow 4 Follow! Like 4 Like! 💯💯💯,28,6449,0,1,1,1,1
aaliyah_90,Fitness & wellness 💪 | travel | Denver,2133,51,87,448,1,1,0
follow_me_993391,I make $10k/week! Ask me how 💵💵💵,7,484,0,6,1,0,1
em0tpi70hkgnhagxxks,FREE followers! Click the link NOW!!!,45,50,1,53,1,0,1
layla.lewis,"Life is short, eat dessert first 🍰 | camping",168,168,69,371,1,0,0
aiden.ramirez,ambitious | meditation | writing | Austin 📍,153,98,14,306,1,0,0
madelyn.rodriguez,Wanderlust 🌎 | swimming | gardening | Toronto,132,449,38,1520,1,1,0
lucaswilson,Accountant 💼 | Family first ❤️ | travel,3754,102,89,259,1,1,0
follow_me_322889,Buy followers cheap! DM for prices!,27,593,6,61,0,0,1
user868401,CHEAP followers and likes! Best prices! DM!!!,29,629,1,26,0,1,1
jacobjackson,ambitious | cooking | surfing | Boston 📍,63,38,45,778,1,0,0
the_violet,adventurous | hiking | music | Austin 📍,107,175,17,420,1,1,0
the_henry,🎓 Berkeley alum | Artist | NYC,474,60,180,761,1,1,0
the_elena,Bookworm 📚 | meditation | baking | Introvert at heart,179,187,227,1205,0,0,0
isabella.white,Accountant 💼 | Family first ❤️ | gardening,74,179,25,463,1,0,0
follow_me_715151,Follow me I follow back! F4F! 🔥🔥🔥,12,366,2,10,0,1,1
5e742grrdnwt2fes,Follow me I follow back! F4F! 🔥🔥🔥,0,813,12,33,0,0,1
kclh2780abe,,21,881,3,12,0,1,1
the_ruby,adventurous | skateboarding | cycling | Chicago 📍,839,197,23,81,1,0,0
real_ogxabw2404,Hot singles in your area 😍 DM NOW,1,380,2,116,0,1,1
user701828,CHEAP followers and likes! Best prices! DM!!!,13,528,4,28,1,1,1
free_kbkvz_719,Follow me I follow back! F4F! 🔥🔥🔥,25,1010,1,2,0,1,1
real_peehps5951,Want to lose 20lbs fast?? DM me!!!,41,127,4,19,0,0,1
brooklynwalker,📍Boston | surfing & cycling | DM for collabs,371,78,434,388,1,1,0
xq9vjuhbp9vrnegn,DM me for exclusive offers!!!,3,454,11,8,1,0,1
matthew_92,📍Seattle | gaming & fitness | DM for collabs,109,113,5,307,1,0,0
luke.martin,Spreading positivity ☀️ | Artist | photography,2764,45,31,1107,1,1,0
real_mrbptc1411,Make $5000/day working from home! Link below 👇,30,738,0,66,0,1,1
wyatt_96,"Teacher by day, camping lover by night 🌙",3402,22,253,238,1,0,0
9au87cm453kf486,I make $10k/week! Ask me how 💵💵💵,3,424,3,16,1,1,1
matthew_hernandez,happy | gaming | camping | Paris 📍,1099,730,77,485,1,0,0
free_klyuh_933,,6,221,10,5,1,1,1
teo86777140,Invest in crypto NOW! Double your money! 🚀🚀🚀,61,133,5,1,0,1,1
hannah.harris.official,🎓 Berkeley alum | Accountant | Miami,74,322,25,92,1,0,0
9e576mouze66vw,DM me for exclusive offers!!!,1,112,0,4,0,1,1
eglc7876byo,Invest in crypto NOW! Double your money! 🚀🚀🚀,12,196,1,55,0,0,1
28yi4pzzj8xkv4vtc,Follow me I follow back! F4F! 🔥🔥🔥,56,1117,0,43,0,1,1
savannah.miller.official,Creative mind | gardening | photography | Let's connect!,98,197,27,895,1,0,0
levi.wilson,🎓 Columbia alum | Teacher | Tokyo,69,1589,26,546,0,0,0
naomi.anderson.official,Just a curious soul exploring the world 🌍 | painting,193,4642,528,1495,1,0,0
user324869,Make $5000/day working from home! Link below 👇,7,415,3,39,1,1,1
lily_jones,🎵 Music lover | Consultant | skiing,95,297,1,726,1,0,0
jumf1050ivm,FREE followers! Click the link NOW!!!,3,278,3,77,0,0,1
user181140,,3,292,0,11,0,1,1
gabrielallen29,Dog parent 🐕 | Chef | skateboarding fanatic,124,90,3,1812,1,0,0
david.miller.official,Mom of 2 | gaming | Coffee addict ☕,37,243,6,1255,1,0,0
oys74799245,Free gift cards! Limited time offer! Click NOW!,9,100,1,32,0,1,1
real_blfupd9555,Hot singles in your area 😍 DM NOW,76,436,3,5,0,1,1
x7gkl53ygfpqxo0e,Click link in bio for FREE money 💰💰💰,59,91,5,10,0,1,1
user613682,Invest in crypto NOW! Double your money! 🚀🚀🚀,12,618,6,65,0,0,1
the_jackson,🎓 Oxford alum | Software Engineer | Portland,1414,144,31,1537,1,1,0
zoey.harris,Spreading positivity ☀️ | Lawyer | dance,419,1898,14,453,1,1,0
eleanorwilliams,Wanderlust 🌎 | swimming | gardening | Denver,221,279,80,276,1,0,0
elena.ramirez,"Life is short, eat dessert first 🍰 | camping",62,119,50,576,1,0,0
763v1m3pp00cdnzy4,,27,333,4,20,0,1,1
natalie_brown,Dreamer & doer ✨ | skiing | Dubai,56,291,60,1268,1,0,0
jaydenclark96,Software Engineer | skiing enthusiast | Living my best life ✨,3621,367,24,994,1,0,0
zoeytorres11,"Doctor by day, travel lover by night 🌙",22,96,79,233,1,0,0
stella.martin,Wanderlust 🌎 | gaming | cycling | Seattle,1209,108,179,710,1,0,0
follow_me_089190,Crypto millionaire 💎🙌 Join my course!,8,319,1,6,1,1,1
audrey_99,Software Engineer | writing enthusiast | Living my best life ✨,10295,180,90,907,0,0,0
the_ruby,Creative mind | dance | yoga | Let's connect!,722,50,73,390,1,0,0
vzebu2y0oy58f1,Adult content 🔞 Link below for more,34,50,7,17,1,1,1
julian.flores.official,Creative mind | writing | writing | Let's connect!,151,83,24,386,1,0,0
fkc10438647,....,33,1581,1,3,0,1,1
savannah.anderson.official,📸 fitness | Travel addict | Berlin native,2060,161,43,276,1,0,0
user484531,Free gift cards! Limited time offer! Click NOW!,17,122,1,5,0,1,1
aaliyah.gonzalez,Dreamer & doer ✨ | cycling | San Francisco,338,189,15,370,1,0,0
vhuazun6fht60ku,,4,3647,1,34,0,0,1
lucathompson,🎓 Stanford alum | Entrepreneur | Tokyo,175,149,63,198,1,0,0
ariatorres,🎓 NYU alum | Doctor | Boston,180,174,73,290,1,0,0
the_john,Mom of 3 | swimming | Coffee addict ☕,485,320,56,874,1,0,0
jaxonallen59,📸 travel | Travel addict | Sydney native,109,402,3,541,1,1,0
user493935,FREE followers! Click the link NOW!!!,1,123,9,27,0,0,1
pomm2255dvh,....,12,2473,3,27,0,1,1
m81rjwpx5zj2o4,,20,2965,5,4,1,0,1
zoey_lee,Accountant 💼 | Family first ❤️ | dance,411,491,1,1384,1,0,0
jackson_miller,Love swimming and reading 🌟 | Tokyo based,52,160,47,515,1,0,0
real_cwyjum9673,Invest in crypto NOW! Double your money! 🚀🚀🚀,26,7500,3,49,1,0,1
real_wcaysg5684,Follow 4 Follow! Like 4 Like! 💯💯💯,11,110,3,23,1,1,1
john.lopez,Mom of 1 | swimming | Coffee addict ☕,911,38,201,118,1,1,0
pmxd6lqga3qupo,I make $10k/week! Ask me how 💵💵💵,39,223,0,9,0,1,1
shsm9518nzg,FREE followers! Click the link NOW!!!,0,3070,0,21,0,0,1
the_henry,📸 travel | Travel addict | Tokyo native,44,162,12,1160,1,1,0
hzg85s9asj21gtchygt,Invest in crypto NOW! Double your money! 🚀🚀🚀,2,4887,9,106,1,1,1
ibp96811391,.,3,388,4,35,1,1,1
eleanortaylor,Just a adventurous soul exploring the world 🌍 | music,88,303,41,298,1,0,0
wrut4680nct,....,10,3768,0,28,0,1,1
christophernguyen51,Dog parent 🐕 | Accountant | swimming fanatic,1108,253,25,305,1,1,0
x083rwr3ow37gjnx,I make $10k/week! Ask me how 💵💵💵,36,1598,0,32,1,1,1
scarlett.clark,Bookworm 📚 | gardening | cooking | Introvert at heart,352,142,50,641,1,1,0
avery.moore.official,Love yoga and dance 🌟 | Denver based,109,128,21,663,1,0,0
5lfos9dj9ihjdq,Make $5000/day working from home! Link below 👇,11,50,3,24,0,0,1
piper_90,🎵 Music lover | Artist | painting,64,170,63,152,1,0,0
feap1646uoy,Want to lose 20lbs fast?? DM me!!!,28,50,3,12,0,1,1
jaxonlee85,"Data Analyst by day, surfing lover by night 🌙",1151,39,18,3632,1,0,0
adrianjohnson46,Just a passionate soul exploring the world 🌍 | music,3646,174,5,387,1,0,0
joseph_96,"Life is short, eat dessert first 🍰 | gardening",6539,67,16,1063,1,0,0
aiden.scott.official,Creative mind | music | yoga | Let's connect!,143,441,66,197,1,0,0
xvrt4upr44esh9bx,Want to lose 20lbs fast?? DM me!!!,5,1550,1,33,0,0,1
user938641,,9,290,0,10,0,1,1
stella.taylor,Fitness & wellness 💪 | baking | Paris,119,94,36,1013,0,0,0
real_slktxm5769,Follow me I follow back! F4F! 🔥🔥🔥,9,474,3,56,0,1,1
henrythomas,Fitness & wellness 💪 | hiking | NYC,189,196,82,1916,1,0,0
harper_gonzalez,📍Paris | writing & dance | DM for collabs,216,66,2,2259,1,0,0
vjyk7844lly,Follow 4 Follow! Like 4 Like! 💯💯💯,23,69,1,2,0,1,1
ameliajohnson,chill | gaming | gaming | Miami 📍,198,346,205,989,1,1,0
hannahking,Bookworm 📚 | skateboarding | swimming | Introvert at heart,17,122,40,264,1,0,0
user655506,CHEAP followers and likes! Best prices! DM!!!,15,744,2,23,0,0,1
averywilson,happy | skateboarding | fitness | Sydney 📍,55,13,26,553,1,0,0
henryyoung77,Bookworm 📚 | painting | gardening | Introvert at heart,2244,57,26,713,1,0,0
mldu8961jzo,FREE followers! Click the link NOW!!!,8,586,7,4,0,1,1
savannah.lee,"Life is short, eat dessert first 🍰 | reading",373,201,30,1220,1,0,0
miawalker15,🎵 Music lover | Chef | dance,182,139,2,1291,1,0,0
x91fy6yo8dje7xqt,Hot singles in your area 😍 DM NOW,2,1709,5,39,1,1,1
violet_93,Mom of 3 | meditation | Coffee addict ☕,534,250,40,375,1,1,0
xb56bnvsfa6d9er9,,14,539,0,91,1,1,1
user951000,,18,1474,7,3,0,0,1
free_gavfh_433,Free gift cards! Limited time offer! Click NOW!,10,50,1,74,0,0,1
real_fiucwv2933,Invest in crypto NOW! Double your money! 🚀🚀🚀,28,1051,6,31,0,1,1
qre11856883,Click link in bio for FREE money 💰💰💰,15,245,1,3,0,0,1
luke_hernandez,Mom of 1 | baking | Coffee addict ☕,27,134,31,685,1,1,0
user927154,Make $5000/day working from home! Link below 👇,14,144,0,2,0,0,1
xdg680iuga4fegyy,Buy followers cheap! DM for prices!,3,938,5,10,0,0,1
joshua_95,🎓 Oxford alum | Chef | Seattle,5692,107,34,412,1,1,0
zty61287099,,10,2542,0,1,0,0,1
free_wmuni_611,,20,4814,0,3,0,0,1
samuel.clark.official,Dog parent 🐕 | Accountant | travel fanatic,483,37,35,910,1,0,0
jbq58253213,,6,785,3,143,1,1,1
free_tsbad_980,Buy followers cheap! DM for prices!,8,349,5,32,0,0,1
asher_garcia,Wanderlust 🌎 | gardening | photography | Portland,10,349,41,1069,1,0,0
lukemartin28,Creative mind | surfing | travel | Let's connect!,190,196,2,413,1,0,0
dylan_96,Love hiking and writing 🌟 | Austin based,489,1372,6,185,1,0,0
gds47413203,Buy followers cheap! DM for prices!,12,145,1,40,0,1,1
stella_92,Bookworm 📚 | baking | skateboarding | Introvert at heart,5272,92,20,556,1,0,0
free_xubug_425,CHEAP followers and likes! Best prices! DM!!!,0,86,2,9,0,1,1
user906473,Buy followers cheap! DM for prices!,8,1060,0,133,0,0,1
emma_harris,Fitness & wellness 💪 | yoga | Dubai,390,597,7,896,1,0,0
the_harper,Spreading positivity ☀️ | Chef | swimming,68,321,3,648,1,1,0
amelia_robinson,Dog parent 🐕 | Artist | fitness fanatic,150,153,42,669,1,1,0
audrey.lee.official,🎓 Harvard alum | Architect | Toronto,213,151,72,1395,1,0,0
andrew_walker,Just a creative soul exploring the world 🌍 | cooking,56,272,4,777,1,0,0
xpgvtn4ypkw7493d,Click link in bio for FREE money 💰💰💰,35,419,3,8,0,1,1
follow_me_090013,I make $10k/week! Ask me how 💵💵💵,16,1027,0,2,1,1,1
johnlopez,📍Paris | reading & writing | DM for collabs,496,1190,166,353,1,0,0
real_onmtpz9462,.,13,678,1,29,0,0,1
free_rlbpo_193,Crypto millionaire 💎🙌 Join my course!,11,241,0,32,0,1,1
the_hannah,"Photographer by day, camping lover by night 🌙",892,470,61,402,1,1,0
kavxsoa8e5bo8bot,DM me for exclusive offers!!!,23,1544,6,84,0,1,1
the_asher,Consultant 💼 | Family first ❤️ | fitness,605,1814,5,1563,1,0,0
follow_me_795997,Adult content 🔞 Link below for more,14,112,0,25,0,0,1
inc36511778,....,2,1278,11,11,0,1,1
xola3412kto,FREE followers! Click the link NOW!!!,19,364,6,32,0,0,1
free_wvohg_279,Make $5000/day working from home! Link below 👇,5,306,7,65,0,0,1
60zz0i0835tvv8y,,2,1915,1,71,0,1,1
htk53636489,Make $5000/day working from home! Link below 👇,28,2519,0,24,0,1,1
follow_me_217783,CHEAP followers and likes! Best prices! DM!!!,15,312,1,24,1,0,1
free_tgswh_561,Free gift cards! Limited time offer! Click NOW!,28,997,14,34,1,1,1
claire_anderson,Spreading positivity ☀️ | Doctor | swimming,772,64,341,558,1,0,0
zru65813277,,2,253,8,92,0,1,1
gabrieljackson4,Creative mind | music | skiing | Let's connect!,2277,101,44,1147,0,0,0
xczt0lfj4b121y50,Follow me I follow back! F4F! 🔥🔥🔥,18,7500,0,16,0,1,1
user263833,.,30,50,2,33,0,1,1
ali38926063,,23,625,3,1,0,1,1
lincoln.rodriguez.official,ambitious | hiking | skateboarding | Toronto 📍,323,115,41,1081,1,0,0
ashermartinez39,Doctor 💼 | Family first ❤️ | photography,407,320,105,1251,1,1,0
rypc8552wtg,Follow 4 Follow! Like 4 Like! 💯💯💯,21,503,2,37,1,1,1
free_afvec_313,.,18,899,1,18,0,1,1
real_uqkfvb9281,.,12,1237,1,65,0,1,1
the_owen,📍London | camping & yoga | DM for collabs,176,333,5,259,1,0,0
real_raqrkb4718,Follow 4 Follow! Like 4 Like! 💯💯💯,10,1533,4,1,0,1,1
ukuw9978eab,,10,637,0,63,0,1,1
free_qlvxe_100,,2,268,0,83,1,1,1
lincolndavis85,Living life one fitness at a time 🏔️,619,96,7,148,1,1,0
user182412,....,8,7500,0,1,0,1,1
dtf62200141,FREE followers! Click the link NOW!!!,7,517,1,15,0,1,1
cmma3065alc,Invest in crypto NOW! Double your money! 🚀🚀🚀,1,7500,0,11,1,1,1
follow_me_073742,Hot singles in your area 😍 DM NOW,7,74,0,26,1,1,1
follow_me_139284,,11,339,3,114,0,1,1
user721685,FREE followers! Click the link NOW!!!,7,250,1,40,0,0,1
elena.flores,Dreamer & doer ✨ | travel | Toronto,70,24,39,1321,1,0,0
the_grayson,Just a happy soul exploring the world 🌍 | hiking,40,408,168,274,1,0,0
ava_91,Software Engineer | gaming enthusiast | Living my best life ✨,493,536,37,814,1,0,0
sa3y5t37szpf9s,FREE followers! Click the link NOW!!!,13,67,2,52,1,1,1
ella_smith,Love skiing and music 🌟 | Toronto based,36,83,36,205,1,1,0
chg53019181,Crypto millionaire 💎🙌 Join my course!,2,1943,1,7,0,1,1
james.smith.official,🎓 Oxford alum | Consultant | Seattle,329,280,53,82,1,0,0
free_rjixv_284,Free gift cards! Limited time offer! Click NOW!,23,7500,6,5,0,0,1
amelia.miller,📸 travel | Travel addict | Miami native,514,181,54,1007,1,0,0
free_ybfvs_927,Make $5000/day working from home! Link below 👇,4,89,0,17,1,0,1
free_felbh_654,Invest in crypto NOW! Double your money! 🚀🚀🚀,88,186,4,50,0,1,1
opi11369252,I make $10k/week! Ask me how 💵💵💵,53,128,2,1,0,1,1
natalieperez,Chef 💼 | Family first ❤️ | gardening,529,369,8,732,1,0,0
free_senpa_472,,1,116,1,7,1,1,1
avery_91,creative | skateboarding | meditation | Paris 📍,100,28,19,1037,1,0,0
joshua_walker,Dog parent 🐕 | Entrepreneur | meditation fanatic,10,840,127,1599,1,1,0
violethernandez8,Bookworm 📚 | cycling | travel | Introvert at heart,47,76,37,743,1,0,0
john.hill.official,Bookworm 📚 | meditation | gaming | Introvert at heart,225,266,31,170,1,0,0
elena.king.official,📸 cycling | Travel addict | Boston native,70,452,17,623,1,0,0
savannah_jackson,Just a chill soul exploring the world 🌍 | fitness,17,250,27,744,1,0,0
levi.jones,"Architect by day, running lover by night 🌙",975,159,203,571,1,1,0
grayson.johnson.official,Architect 💼 | Family first ❤️ | writing,1939,96,53,2167,1,0,0
jaxonharris43,Dog parent 🐕 | Entrepreneur | cycling fanatic,203,823,70,622,0,0,0
scarletttorres,Dreamer & doer ✨ | gaming | LA,102,418,8,1487,1,0,0
real_atzque6218,Adult content 🔞 Link below for more,92,90,2,3,0,1,1
andrewtorres12,"Manager by day, swimming lover by night 🌙",577,284,3,236,1,1,0
luke.robinson,Marketing Lead | gaming enthusiast | Living my best life ✨,3542,34,17,1198,1,1,0
aliceclark,"Writer by day, running lover by night 🌙",90,364,54,668,1,0,0
piper.wright,Creative mind | cycling | skateboarding | Let's connect!,21,139,22,504,1,1,0
auroramiller,Mom of 2 | running | Coffee addict ☕,178,605,5,202,1,1,0
follow_me_945923,....,17,50,1,11,1,0,1
free_mzaar_987,,59,235,0,15,0,1,1
the_luca,Bookworm 📚 | music | reading | Introvert at heart,1202,308,51,1604,1,0,0
audrey_wright,Wanderlust 🌎 | writing | music | Portland,1974,454,5,768,1,1,0
wadg8698tda,CHEAP followers and likes! Best prices! DM!!!,55,1797,1,15,0,1,1
savannah_91,Bookworm 📚 | meditation | photography | Introvert at heart,721,72,168,1346,1,1,0
real_zwjaud4752,Adult content 🔞 Link below for more,6,468,0,28,0,1,1
lily_99,🎵 Music lover | Architect | skateboarding,119,292,49,704,1,0,0
amelia_williams,Wanderlust 🌎 | baking | reading | Barcelona,29,325,13,1920,1,1,0
xcvu4654hdz,Adult content 🔞 Link below for more,26,936,1,33,0,0,1
natalie.martin.official,"Nurse by day, reading lover by night 🌙",219,77,5,971,1,0,0
hjq31181917,Follow 4 Follow! Like 4 Like! 💯💯💯,43,786,3,27,0,1,1
egy67878295,.,0,834,4,30,0,0,1
lukejackson,Mom of 1 | yoga | Coffee addict ☕,262,73,135,549,1,0,0
alicesanchez,Living life one hiking at a time 🏔️,2850,150,32,580,1,0,0
elena_90,Just a chill soul exploring the world 🌍 | camping,69,384,72,613,1,0,0
real_dzjtvk5155,I make $10k/week! Ask me how 💵💵💵,30,100,1,47,0,0,1
xqe7ajul7w8cof31,I make $10k/week! Ask me how 💵💵💵,18,1130,12,19,0,0,1
amelia_92,Nurse | hiking enthusiast | Living my best life ✨,1325,138,8,2919,1,0,0
regh8983zrt,,13,50,13,14,1,1,1
tmpt1uv94c8ma30,....,49,1967,0,21,0,0,1
aaliyah_lopez,Fitness & wellness 💪 | reading | Dubai,177,297,17,512,1,0,0
real_nzuvqx6956,,2,276,0,41,0,1,1
laylaclark,Dreamer & doer ✨ | gardening | San Francisco,114,420,63,299,1,1,0
gtjs1a5ugxbrytivr40d,Invest in crypto NOW! Double your money! 🚀🚀🚀,0,323,0,109,0,0,1
user443005,Hot singles in your area 😍 DM NOW,33,843,0,1,0,1,1
ufpj5889dxj,Free gift cards! Limited time offer! Click NOW!,8,530,7,111,0,1,1
gaq39995898,,58,348,0,4,0,1,1
follow_me_912819,CHEAP followers and likes! Best prices! DM!!!,1,493,9,17,1,0,1
free_afhpg_838,,8,50,0,26,0,1,1
theodorehernandez7,Dreamer & doer ✨ | meditation | Portland,48,84,114,1765,1,1,0
real_bdgrwk5862,Buy followers cheap! DM for prices!,15,50,8,77,0,1,1
real_awttut6455,,18,206,0,26,0,0,1
